bc_acc,bc_dec,b_speed_c1,b_speed_c2,alpha_acc,alpha_dec,beta_acc,beta_dec,gamma_acc,gamma_dec,lamda_acc_p,lamda_dec_n,dn,sigma_acc,sigma_dec,sigma_dn
-0.11440670989392801,0.009132159338637213,0.952851166474817,-1.156030751791947,0.48556704828066155,0.9733800637774191,0.6059019561606739,0.25234737588711287,0.8545245547803872,1.0204453414582106,0.953582818252888,1.2924824115886346,-0.00223846591969209,-0.15027948234868027,-0.06416104078007397,-2.612926024029952
-0.10882288163028196,0.015459748297456664,0.9513477743319105,-1.1407895823696175,0.4848104372687765,0.9596098208245052,0.6072742682453516,0.2592866526907566,0.8571041479279763,1.022732594870193,0.9568941656839698,1.301720302232258,-0.0019394490961911347,-0.1481535278434031,-0.0659312552486866,-2.6187199638832963
-0.09721972217101614,0.02719072479774419,0.9634151788220997,-1.0989661911630393,0.4922645760317304,0.9508766635151394,0.6136537194332272,0.2674256615057343,0.8682481732415612,1.0250687658672182,0.9673861142184393,1.3085427631880457,-0.001494058625503134,-0.14586085367988766,-0.06906459656313495,-2.6290982247386383
-0.09417176781105956,0.028877738263024314,0.9695374569298237,-1.0828105390433236,0.49622575403541447,0.9512819596352253,0.6187202254571165,0.2674245165505812,0.8749788887194232,1.0213659645993327,0.9732504993723925,1.3021179542713797,-0.0012733573712823754,-0.14535544814709617,-0.0697376114470129,-2.631925114958656
-0.09275118336900366,0.030886178062572163,0.9717150181728361,-1.0745902913663312,0.4895848584462413,0.9491499503813567,0.6204696329867417,0.26655993182152,0.8746085879072096,1.01481515652804,0.9746666142131926,1.290936008381534,-0.0011999950071090776,-0.14563492894089722,-0.07047931133644525,-2.6330993072212263
-0.09381856686646414,0.03136908781609207,0.9696100445648648,-1.0689249435823724,0.4915607171778256,0.9508493931161551,0.6230165969200447,0.26695875172430494,0.8767867973162687,1.010501820651662,0.9740868907464928,1.280124510726003,-0.0012193030936365652,-0.14586440167349227,-0.07089889172788483,-2.63229290431389
-0.09380780338646369,0.033123017691817136,0.965619038688089,-1.0668735032821504,0.48085442466229766,0.9457900319654954,0.6189568837632219,0.2655735354911188,0.8690313491012484,1.0051352162463794,0.969578908309537,1.2739919427292354,-0.0012731580304279682,-0.14655851034559159,-0.07141381313820253,-2.6318292531097347
-0.09458558317050578,0.0328388243262754,0.9624071454620035,-1.0664029193389917,0.4833537220662903,0.946697894239522,0.617200951635584,0.2667023649128622,0.8673665849638552,1.0063705006377357,0.9660186234575582,1.2742642933844257,-0.001319924043985536,-0.14681941040534258,-0.07137661209728212,-2.6308863379533776
-0.0943908391306319,0.032754859996900594,0.9618730919445682,-1.066395078109929,0.4828676740940508,0.9460886632850178,0.6154764382976321,0.26629794769736814,0.8655397352395608,1.0064136601825633,0.9648305192214311,1.2755339856794536,-0.0013210414266786868,-0.14691002458231545,-0.07137833089984996,-2.6308485104393045
-0.09427385202657666,0.032689932224143764,0.9620216579215197,-1.066284039058762,0.4832335857182103,0.9462633738286398,0.6154235295642547,0.26650744303987245,0.8655715552196623,1.0067416180241033,0.9646687413909191,1.2757647943861603,-0.001314305247563962,-0.1469223535951233,-0.07136574635400657,-2.6308895288694507
-0.09425994042639156,0.03266993763710247,0.9620473958077219,-1.0662392386745205,0.48333259943417156,0.94631407905227,0.6154066308733347,0.26641970813370647,0.8655996431057664,1.0066810863721964,0.9647239700309014,1.2757503861918726,-0.0013132077023206919,-0.14691646893035093,-0.07136691116345761,-2.630893928003223
-0.09425878583063237,0.032671159957286006,0.962046620259134,-1.0662425316361348,0.48327162653853156,0.9462703123573996,0.6154068495034535,0.2664245395069931,0.8655769891384221,1.006661605180888,0.964706640382938,1.2757294015766785,-0.001313151542802431,-0.14691835381434595,-0.07136769073592136,-2.630894163922333
-0.09425785856066171,0.032672567202690544,0.9620462197589723,-1.0662415178451299,0.48327322183201765,0.946279819534287,0.6154094053679349,0.2664282518902891,0.8655792377855089,1.0066680658970457,0.9647054224563447,1.275729630004461,-0.0013131365163625752,-0.14691856238929543,-0.07136766037724317,-2.6308945034686415
-0.0942578475773894,0.03267257866458894,0.9620462176033815,-1.0662415167948769,0.48327298267571595,0.9462799522094641,0.6154094528396833,0.26642830038906845,0.8655791835364951,1.0066681541279876,0.9647053572099331,1.2757296351044494,-0.0013131361910530797,-0.14691856637962178,-0.07136765955326316,-2.6308945042830287
-0.09425784749061851,0.03267257865172273,0.9620462174969431,-1.0662415168473387,0.4832729823326689,0.9462799522756338,0.615409452855117,0.2664283003692004,0.8655791833976831,1.0066681541709037,0.9647053570519896,1.2757296351790008,-0.001313136188614715,-0.1469185663956476,-0.07136765954820144,-2.6308945042812057
-0.09425784749061848,0.03267257865172274,0.9620462174969431,-1.0662415168473387,0.48327298233266874,0.9462799522756338,0.615409452855117,0.26642830036920034,0.8655791833976831,1.0066681541709037,0.9647053570519895,1.2757296351790008,-0.0013131361886147142,-0.1469185663956476,-0.07136765954820144,-2.6308945042812057
